Timestamp (ms),Temperature (°C)
1543.0,24.79
1845.0,24.8
2147.0,24.8
2449.0,24.8
2751.0,24.82
3053.0,24.84
3355.0,24.85
3657.0,24.86
3959.0,24.88
4261.0,24.89
4563.0,24.91
4865.0,24.92
5167.0,24.93
5469.0,24.94
5771.0,24.96
6073.0,24.98
6375.0,24.99
6677.0,25.01
6979.0,25.03
7281.0,25.05
7583.0,25.06
7885.0,25.08
8187.0,25.1
8489.0,25.11
8791.0,25.13
9093.0,25.16
9395.0,25.17
9697.0,25.2
9999.0,25.22
10301.0,25.23
10604.0,25.25
10907.0,25.28
11210.0,25.3
11513.0,25.33
11816.0,25.35
12119.0,25.37
12422.0,25.4
12725.0,25.42
13028.0,25.45
13331.0,25.47
13634.0,25.5
13937.0,25.53
14240.0,25.55
14543.0,25.58
14846.0,25.61
15149.0,25.64
15452.0,25.66
15755.0,25.69
16058.0,25.71
16361.0,25.74
16664.0,25.77
16967.0,25.8
17270.0,25.83
17573.0,25.86
17876.0,25.9
18179.0,25.93
18482.0,25.95
18785.0,25.97
19088.0,26.01
19391.0,26.04
19694.0,26.07
19997.0,26.09
20300.0,26.13
20603.0,26.16
20906.0,26.19
21209.0,26.23
21512.0,26.26
21815.0,26.29
22118.0,26.31
22421.0,26.35
22724.0,26.39
23027.0,26.41
23330.0,26.45
23633.0,26.47
23936.0,26.51
24239.0,26.54
24542.0,26.57
24845.0,26.6
25148.0,26.62
25451.0,26.66
25754.0,26.7
26057.0,26.74
26360.0,26.77
26663.0,26.81
26966.0,26.84
27269.0,26.87
27572.0,26.9
27875.0,26.93
28178.0,26.97
28481.0,26.99
28784.0,27.03
29087.0,27.06
29390.0,27.11
29693.0,27.14
29996.0,27.16
30299.0,27.19
30602.0,27.24
30905.0,27.28
31208.0,27.31
31511.0,27.35
31814.0,27.38
32117.0,27.42
32420.0,27.46
32723.0,27.48
33026.0,27.52
33329.0,27.55
33632.0,27.58
33935.0,27.62
34238.0,27.65
34541.0,27.69
34844.0,27.72
35147.0,27.76
35450.0,27.8
35753.0,27.82
36056.0,27.86
36359.0,27.9
36662.0,27.93
36965.0,27.96
37268.0,28.01
37571.0,28.04
37874.0,28.08
38177.0,28.11
38480.0,28.13
38783.0,28.17
39086.0,28.22
39389.0,28.25
39692.0,28.28
39995.0,28.31
40298.0,28.35
40601.0,28.38
40904.0,28.43
41207.0,28.46
41510.0,28.49
41813.0,28.52
42116.0,28.57
42419.0,28.59
42722.0,28.63
43025.0,28.67
43328.0,28.7
43631.0,28.74
43934.0,28.77
44237.0,28.82
44540.0,28.84
44843.0,28.87
45146.0,28.9
45449.0,28.94
45752.0,28.98
46055.0,29.0
46358.0,29.04
46661.0,29.08
46964.0,29.11
47267.0,29.14
47570.0,29.18
47873.0,29.21
48176.0,29.25
48479.0,29.28
48782.0,29.32
49085.0,29.35
49388.0,29.39
49691.0,29.42
49994.0,29.44
50297.0,29.48
50600.0,29.52
50903.0,29.54
51206.0,29.57
51509.0,29.61
51812.0,29.63
52115.0,29.68
52418.0,29.7
52721.0,29.73
53024.0,29.77
53327.0,29.8
53630.0,29.84
53933.0,29.87
54236.0,29.91
54539.0,29.94
54842.0,29.97
55145.0,30.01
55448.0,30.04
55751.0,30.07
56054.0,30.1
56357.0,30.14
56660.0,30.16
56963.0,30.19
57266.0,30.22
57569.0,30.25
57872.0,30.28
58175.0,30.33
58478.0,30.36
58781.0,30.38
59084.0,30.42
59387.0,30.45
59690.0,30.48
59993.0,30.51
60296.0,30.54
60599.0,30.57
60902.0,30.6
61205.0,30.63
61508.0,30.66
61811.0,30.7
62114.0,30.72
62417.0,30.75
62720.0,30.79
63023.0,30.81
63326.0,30.85
63629.0,30.87
63932.0,30.9
64235.0,30.93
64538.0,30.96
64841.0,31.01
65144.0,31.03
65447.0,31.06
65750.0,31.08
66053.0,31.11
66356.0,31.15
66659.0,31.18
66962.0,31.2
67265.0,31.23
67568.0,31.25
67871.0,31.3
68174.0,31.32
68477.0,31.35
68780.0,31.38
69083.0,31.4
69386.0,31.43
69689.0,31.46
69992.0,31.49
70295.0,31.52
70598.0,31.55
